REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,H_AULA_PRES,target
0,0,0,0,6.8,6.8,6.2,0.0,5,EXATAS
0,0,0,0,6.5,6.3,6.1,6.0,2,EXATAS
0,0,0,0,7.1,7.8,8.7,6.8,7,HUMANAS
0,0,0,0,6.1,5.7,4.7,5.0,3,EXATAS
0,0,0,0,6.8,6.0,5.7,6.6,5,EXATAS
0,0,0,0,6.5,5.9,7.2,4.6,2,HUMANAS
0,0,0,0,6.0,5.3,6.8,5.3,5,HUMANAS
1,1,1,1,0.0,0.0,0.0,0.0,7,DIFICULDADE
0,0,3,1,5.3,5.6,0.0,0.0,2,DIFICULDADE
0,0,0,0,5.3,5.5,5.0,5.6,2,EXATAS
1,1,1,3,0.0,0.0,0.0,0.0,5,DIFICULDADE
0,0,0,0,7.8,7.6,8.3,7.4,5,HUMANAS
1,1,1,1,0.0,0.0,0.0,0.0,8,DIFICULDADE
0,0,0,0,7.8,7.4,9.5,7.5,15,EXCELENTE
0,0,0,0,7.2,7.1,7.9,6.7,2,HUMANAS
1,3,1,1,0.0,0.0,0.0,0.0,6,DIFICULDADE
1,1,3,1,0.0,0.0,0.0,0.0,3,DIFICULDADE
1,1,1,1,0.0,0.0,0.0,0.0,4,DIFICULDADE
0,0,0,0,6.7,6.6,6.2,5.0,2,EXATAS
0,0,0,0,7.6,7.3,7.6,6.6,6,HUMANAS
0,0,0,0,5.4,5.4,4.5,5.6,4,EXATAS
0,0,0,0,6.3,6.1,5.5,5.8,5,EXATAS
0,0,0,0,6.4,6.1,6.3,6.5,12,EXATAS
1,1,1,1,0.0,0.0,0.0,0.0,5,DIFICULDADE
1,1,1,1,0.0,0.0,0.0,0.0,2,DIFICULDADE
0,0,0,0,6.4,6.4,6.2,5.7,3,EXATAS
0,0,0,0,6.7,6.6,4.8,6.2,6,EXATAS
1,1,1,1,0.0,0.0,0.0,0.0,9,DIFICULDADE
1,3,1,1,0.0,0.0,0.0,0.0,4,DIFICULDADE
1,1,1,1,0.0,0.0,0.0,0.0,0,DIFICULDADE
0,0,0,0,5.0,4.6,6.7,5.1,1,HUMANAS
0,0,0,0,6.7,6.6,5.0,6.2,11,EXATAS
3,1,3,1,0.0,0.0,0.0,0.0,5,DIFICULDADE
0,0,0,0,5.7,5.5,5.9,5.5,0,EXATAS
0,0,0,0,7.2,7.2,5.3,5.5,13,EXATAS
0,0,0,0,7.0,6.6,6.3,6.6,2,EXATAS
3,1,3,1,0.0,0.0,0.0,0.0,1,DIFICULDADE
0,0,0,0,6.4,5.7,5.3,5.1,7,EXATAS
0,0,0,0,6.2,6.6,5.9,4.7,3,EXATAS
0,0,0,0,6.4,6.7,8.1,6.7,5,HUMANAS
0,0,0,0,6.4,5.1,7.0,4.8,11,HUMANAS
0,0,0,0,5.7,6.4,5.8,4.6,3,EXATAS
0,0,0,0,6.5,6.8,8.0,0.0,2,HUMANAS
1,1,1,1,0.0,0.0,0.0,0.0,12,DIFICULDADE
0,0,0,0,7.0,5.9,6.9,0.0,4,HUMANAS
1,1,3,1,0.0,0.0,0.0,0.0,6,DIFICULDADE
0,0,3,3,6.4,5.8,0.0,0.0,5,DIFICULDADE
0,0,0,0,5.6,7.5,5.6,0.0,3,EXATAS
0,0,3,3,6.3,6.7,0.0,0.0,3,DIFICULDADE
0,0,0,0,7.3,7.0,6.6,0.0,3,HUMANAS
0,0,0,0,6.6,5.7,7.7,5.8,6,HUMANAS
0,0,0,0,5.3,5.4,4.6,4.9,3,DIFICULDADE
0,0,0,0,7.4,6.4,6.2,6.6,12,EXATAS
0,0,0,0,7.0,6.4,5.6,6.9,4,EXATAS
1,1,3,1,0.0,0.0,0.0,0.0,6,DIFICULDADE
0,0,0,0,6.0,5.7,7.2,0.0,2,HUMANAS
0,0,0,0,7.0,7.7,7.4,6.6,11,HUMANAS
1,1,1,1,0.0,0.0,0.0,0.0,6,DIFICULDADE
0,0,0,0,5.7,4.9,6.3,0.0,0,DIFICULDADE
3,1,1,1,0.0,0.0,0.0,0.0,7,DIFICULDADE
1,1,1,1,0.0,0.0,0.0,0.0,4,DIFICULDADE
0,0,0,0,7.0,6.5,7.0,0.0,2,HUMANAS
0,0,0,0,6.2,7.0,5.4,0.0,4,EXATAS
0,0,0,0,6.7,7.1,5.5,6.9,12,EXATAS
0,0,0,0,5.7,5.4,5.0,4.7,16,EXATAS
0,0,0,0,6.4,6.4,5.6,4.7,4,EXATAS
0,0,0,0,5.9,4.8,6.5,0.0,15,DIFICULDADE
0,0,0,0,6.4,6.9,7.7,5.1,14,HUMANAS
0,0,0,0,5.9,4.6,5.3,5.5,4,EXATAS
0,0,0,0,6.4,6.6,6.1,6.0,5,EXATAS
0,0,0,0,7.6,8.0,7.2,6.5,8,HUMANAS
0,0,0,0,6.9,6.0,5.2,5.0,2,EXATAS
0,0,0,0,6.3,5.8,5.8,5.9,5,EXATAS
1,1,1,1,0.0,0.0,0.0,0.0,2,DIFICULDADE
1,1,3,1,0.0,0.0,0.0,0.0,2,DIFICULDADE
0,0,0,0,7.1,7.0,7.2,5.2,4,HUMANAS
0,0,0,0,5.0,4.5,6.5,4.4,2,DIFICULDADE
1,1,1,1,0.0,0.0,0.0,0.0,4,DIFICULDADE
0,0,0,0,7.6,7.6,10.3,6.9,16,EXCELENTE
0,0,0,0,6.3,5.3,7.0,5.6,4,HUMANAS
0,0,0,0,5.7,5.9,5.8,5.0,1,EXATAS
0,0,0,0,6.7,7.1,5.7,6.3,16,EXATAS
0,0,0,0,6.7,7.2,5.2,5.7,10,EXATAS
0,0,0,0,7.1,6.8,6.5,6.0,5,EXATAS
